ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
404,2,美的 智能插座 Standard,GC890,创联世纪信息有限公司移动应用开发,3.7,这款智能插座一般，做工精细，但是噪音控制有点问题。,2026-06-03,智能插座
655,11,小米 智能门锁 Mini,RY572,中建创业信息有限公司虚拟现实,1.3,必须承认，这款智能门锁有严重问题。主要问题在于耗电量大。,2026-06-03,智能门锁
1095,10,美的 智能窗帘 Max,GJ116,良诺信息有限公司生物科技,3.8,对比了市面上几款同类产品后，这款智能窗帘一般般。在晚上睡前时使用体验还不错。而且电池寿命有点问题。可以考虑其他品牌的同类产品。,2026-06-03,智能窗帘
166,27,小米 智能加湿器 Plus,WB890,鑫博腾飞网络有限公司金融科技,1.8,不推荐这款智能加湿器，稳定性差，很失望。,2026-06-02,智能加湿器
230,80,LG 智能音箱 Lite,GJ116,良诺信息有限公司生物科技,1.9,说实话，这款LG 智能音箱 Lite使用体验很差。电池寿命简直无法忍受。不推荐任何人购买。,2026-06-02,智能音箱
428,23,美的 智能净水器 Plus,EI532,七喜传媒有限公司人工智能,1.0,从我的使用体验来看，这款智能净水器很失望。在看电影时时完全不能正常工作。希望厂家能重视这些问题。,2026-06-02,智能净水器
1190,1,亚马逊 智能电饭煲 Advanced,BN418,易动力网络有限公司移动应用开发,1.1,老实讲，这款智能电饭煲功能实现得很糟糕。在做饭时时完全不能正常工作。这钱花得太冤枉了。,2026-06-01,智能电饭煲
1196,91,亚马逊 智能音箱 Basic,WB890,鑫博腾飞网络有限公司金融科技,3.8,这款智能音箱一般，操作简单，但是连接稳定性有点问题。,2026-06-01,智能音箱
460,74,松下 智能窗帘 Lite,LB704,群英信息有限公司金融科技,4.2,这款智能窗帘的自动调节功能很实用，功能齐全。,2026-05-30,智能窗帘
1230,49,松下 智能加湿器 Pro,GL926,时空盒数字传媒有限公司大数据分析,2.3,不推荐这款智能加湿器，续航时间短，很失望。,2026-05-29,智能加湿器
273,54,博世 智能开关 Max,US056,国讯网络有限公司移动应用开发,4.5,购买后，这款博世 智能开关 Max值得推荐。然而在看电影时时表现尤为出色。比我预期的要好。如果非要说缺点的话，信号强度还有提升空间。推荐给有需要的朋友。,2026-05-28,智能开关
596,26,亚马逊 智能扫地机器人 Mini,BN418,易动力网络有限公司移动应用开发,1.9,从我的使用体验来看，这款亚马逊 智能扫地机器人 Mini质量太差。主要问题在于稳定性差。这钱花得太冤枉了。,2026-05-26,智能扫地机器人
1224,54,博世 智能开关 Max,FJ947,浙大万朋信息有限公司生物科技,2.3,不推荐这款智能开关，画质模糊，很失望。,2026-05-26,智能开关
1203,85,博世 智能马桶 Basic,WQ849,开发区世创科技有限公司科技公司,2.2,收到货后，这款智能马桶不推荐购买。主要问题在于反应迟钝。唯一值得称赞的可能就是包装很精美。这钱花得太冤枉了。,2026-05-25,智能马桶
1205,14,格力 智能净水器 Mini,DX151,易动力信息有限公司物联网,3.7,智能净水器的质量还可以，质量很好，不过反应迟钝。,2026-05-25,智能净水器
663,99,三星 智能音箱 Basic,JT617,时空盒数字信息有限公司智能科技,3.7,总体来说还行，节能环保，就是耗电量大。,2026-05-25,智能音箱
1007,17,苹果 智能门锁 Plus,VC531,九方传媒有限公司生物科技,4.4,使用后感觉，这款苹果 智能门锁 Plus非常满意。和官方展示的有差距。如果非要说缺点的话，价格稍微贵了一点。总体来说还是很满意的。,2026-05-25,智能门锁
36,50,苹果 智能空气净化器 Basic,DH200,盟新传媒有限公司大数据分析,2.7,散热问题问题很严重，完全不值这个价格。,2026-05-24,智能空气净化器
537,53,华为 智能电视 Lite,EI532,七喜传媒有限公司人工智能,1.1,散热问题问题很严重，完全不值这个价格。,2026-05-23,智能电视
1209,29,博世 智能空气净化器 Lite,BI759,时空盒数字信息有限公司虚拟现实,3.3,在多次对比之后选择了这款，这款智能空气净化器优缺点都有。刚收到时，智能学习表现不错。最重要的是使用久了会发现一些小问题。性价比很高。,2026-05-23,智能空气净化器
16,78,三星 智能音箱 Elite,PJ659,超艺网络有限公司人工智能,3.2,这款产品优缺点都有，功能齐全，但使用说明不清。,2026-05-22,智能音箱
30,88,格力 智能体重秤 Ultra,NU711,易动力科技有限公司人工智能,3.0,对比了市面上几款同类产品后，这款智能体重秤质量还行。在工作时时使用体验还不错。最让我失望的是使用久了会发现一些小问题。这个价位能买到这样的产品已经很不错了。,2026-05-22,智能体重秤
794,39,西门子 智能音箱 Mini,BW289,海创网络有限公司生物科技,1.6,经过一段时间使用，这款西门子 智能音箱 Mini使用体验很差。噪音控制简直无法忍受。这钱花得太冤枉了。,2026-05-21,智能音箱
1146,2,美的 智能插座 Standard,DW607,银嘉网络有限公司云计算,2.9,作为第一次购买这类产品的新手，这款智能插座很失望。主要问题在于价格偏高。,2026-05-21,智能插座
615,72,西门子 智能洗衣机 Pro,BN418,易动力网络有限公司移动应用开发,4.0,必须承认，这款智能洗衣机超出我的预期。值得一提的是自动升级是我最喜欢的部分。如果非要说缺点的话，可能就是售后服务差。总体来说还是很满意的。,2026-05-20,智能洗衣机
383,25,三星 智能窗帘 Basic,ZO854,MBP软件科技有限公司信息技术,4.5,智能窗帘的设计很人性化，功能齐全，值得推荐。,2026-05-19,智能窗帘
774,41,索尼 智能空气净化器 Ultra,ZO854,MBP软件科技有限公司信息技术,1.5,这款产品有严重问题，使用说明不清，已经申请退款。,2026-05-19,智能空气净化器
234,13,三星 智能电饭煲 Max,BP732,南康网络有限公司互联网服务,2.5,坦白讲，这款智能电饭煲功能实现得很糟糕。使用不到一周就出现了故障。这钱花得太冤枉了。,2026-05-18,智能电饭煲
551,81,亚马逊 智能门锁 Max,JT617,时空盒数字信息有限公司智能科技,3.3,用了一段时间，这款智能门锁性价比一般。优点是反应灵敏。不过散热问题有点问题。整体体验不错。,2026-05-18,智能门锁
183,48,苹果 智能门锁 Pro,WQ849,开发区世创科技有限公司科技公司,3.0,这款产品优缺点都有，音质出色，但画质模糊。,2026-05-17,智能门锁
956,37,飞利浦 智能马桶 Max,EA575,襄樊地球村信息有限公司物联网,2.2,不推荐这款智能马桶，耗电量大，很失望。,2026-05-17,智能马桶
1163,51,苹果 智能开关 Basic,IK721,诺依曼软件传媒有限公司物联网,2.7,说实话，这款苹果 智能开关 Basic完全不符合预期。使用不到一周就出现了损坏。,2026-05-17,智能开关
353,68,博世 智能插座 Basic,RV310,银嘉科技有限公司云计算,1.8,作为第一次购买这类产品的新手，这款博世 智能插座 Basic完全不符合预期。在做饭时时完全不能正常工作。不推荐任何人购买。,2026-05-16,智能插座
1148,78,三星 智能音箱 Elite,GC846,明腾科技有限公司区块链技术,5.0,智能音箱的设计很人性化，外观漂亮，值得推荐。,2026-05-16,智能音箱
117,48,苹果 智能门锁 Pro,DV182,艾提科信传媒有限公司网络安全,2.8,坦白讲，这款苹果 智能门锁 Pro使用体验很差。噪音控制简直无法忍受。唯一值得称赞的可能就是外观设计还不错。不推荐任何人购买。,2026-05-14,智能门锁
277,67,松下 智能电饭煲 Pro,FB488,方正科技科技有限公司互联网服务,2.8,这款产品有严重问题，价格偏高，已经申请退款。,2026-05-14,智能电饭煲
643,26,亚马逊 智能扫地机器人 Mini,PE529,易动力网络有限公司信息技术,2.7,作为第一次购买这类产品的新手，这款智能扫地机器人使用体验很差。主要问题在于反应迟钝。希望厂家能重视这些问题。,2026-05-14,智能扫地机器人
180,71,索尼 智能冰箱 Elite,ZO854,MBP软件科技有限公司信息技术,2.5,噪音控制问题很严重，完全不值这个价格。,2026-05-12,智能冰箱
762,32,亚马逊 智能马桶 Elite,BN418,易动力网络有限公司移动应用开发,1.0,购买后，这款智能马桶完全不符合预期。在晚上睡前时完全不能正常工作。已经申请退款了。,2026-05-11,智能马桶
1214,95,格力 智能音箱 Advanced,EK253,兰金电子科技有限公司区块链技术,1.9,作为一个经常使用此类产品的人，这款智能音箱完全不符合预期。连接稳定性简直无法忍受。希望厂家能重视这些问题。,2026-05-11,智能音箱
220,19,海尔智慧家庭 智能开关 Plus,MA264,时刻网络有限公司信息技术,5.0,非常满意这次购买，外观漂亮，送货也很快。,2026-05-10,智能开关
